,caption
97,"lowres,bad anatomy,bad hands,text,error,missing finger,extra digits,fewer digits,cropped,worst quality,low quality,low score,bad score,average score,signature,watermark,username,blurry,"
98,"masterpiece, best quality, style of riz, 1girl, anthro, dog ears, white fur, white kimono, closed eyes,"
99,"masterpiece, best quality, high score, great score, absurdres, 1girl, phoebe \(wuthering waves\), wuthering waves, realism, volumetric lighting, natural lighting, casual outfit, mini shorts, oversized sweatshirt, handbag, bare shoulders, purple eyes, black bow, long blonde hair, cute smile, skinny body, slender body, busy street, long street, city"
100,"masterpiece, best quality, 1girl, Miadryn, catgirl, angel, warrior angel, holy warrior, white wings, angel wings,  large wings, very wide wingspan, detailed feathers, intricate, very dark, almost black armor, golden cross on chestplate,  glowing, golden halo,  long, flowing, blonde hair,  fiery, orange-yellow, magical glow, holy flame magic, ethereal swords,  determined expression,  piercing, golden-yellow eyes,  magical energy,  radiant, divine aura, dynamic pose, action pose, bleach anime style, tite kubo,"
101,"1girl, fujita kotone, heart, smile, dancing,masterpiece, high score, great score, absurdres, newest, sketch,"
102,"(masterpiece, highres, lighting), (dark-skinned_female, high_ponytail, two-tone_hair, grey_hair & black_hair, elf_ears, grey_eyes, cheeks), (portrait)"
103,"masterpiece,high score,great score,absurdres,goro shigeno,1boy,baseball mitt,male focus,baseball,motion blur,sportswear,baseball uniform,solo,throwing,pitching,stadium,standing,motion lines,ball,crowd,swinging,indiana hornets baseball jersey,white-green baseball jersey,black shirt,,cowboy shot,"
104,"gorgeous lips, (masterpiece), (best quality), high score, great score, very aesthetic, perfect composition, intricate details, absurdres, detailed face, slim noble girl, dynamic angle, pov, napping on cozy sofa, intricate evening dress, night, living room"
105,"masterpiece, high score, great score, absurdres, 1girl, female, solo, high res, long black hair, french braid, messy blunt bangs, purple eyes, mole under lip, slim build, wearing white blouse, gothic style, pale skin, looking at viewer, garden, mature"
106,"((masterpiece, best quality, absurdres)), anime style, 1girl, cute,(old trees background, ghost spirit, spirit flying on behind,  haunted trees, root, standing), solo, from front, upper body, looking away, spirit, ribbon rope wrapped around waist, scared, teeth, open mouth, (light red eyes), (long hair, white hair, multicolored hair, red hair, plunt bangs), (black dress, bare shoulders, long sleeves), dark, night, oil painting,"
107,"masterpiece, high score, great score, absurdres, (ask \(askzy\), hiten \(hitenkei\):0.5), , 1girl, solo, robin \(honkai: star rail\), halo, head wings, earrings, detached collar, sleeveless dress, detached sleeves, white gloves, cowboy shot, looking at viewer, hands on own chest, standing, looking at viewer, singing, open mouth, stage, stage lights, indoors, depth of field"
108,"masterpiece, high score, great score, absurdres, 1boy, male, solo, high res, black hair, brown eyes, slim build, handsome, young adult, sweater, looking at viewer, leaning against railing, outdoors, aged up, mature, disinterested, expressionless"
109,"[nichijou:(nichijou:0.1):0.5],(masterpiece:1.2),(high score:1.2),solo,(long medium hair:1.1),black hair,dark blue eyes,(saggy:0.3) breasts,(freckles:0.9),(habit costume:1.1),half open mouth (evil smile:0.9),viewer,licking finger,black gradation background,(subsurface scattering:0.5),tanned sunburned"
110,"female assassin in a partial mech suite, large breast, assassin blade, neon red trim, shiny black metal, long flowing purple hair"
111,"pastel colors, neon color illustration, (pink haze), kawaii illustration, (Colored pencil:1.4), (graffiti art:1.3), girl, (Sparkling haze), Half-up, black hair, Sailor's uniform, Clothes with big buttons, hats with big buttons,"
112,"masterpiece, high score, great score, absurdres, 1girl, nikaidou shinku, blonde hair, two side up, ,lab coat,school uniform,outdoors, pleated skirt,bare shoulders, smile,  spread arms"
113,"masterpiece, high score, great score, absurdres, illustration, ray tracing, (ask \(askzy\), hiten \(hitenkei\):0.5), , 1girl, solo, aglaea \(honkai: star rail\), solo, maid, black dress, white shirt, underbust, red bowtie, white thighhighs, mary janes, maid headdress, maid apron, embarrassed,  open mouth, blush, parted lips, looking at viewer, cowboy shot, bar \(place\), indoors, depth of field"
114,"by inaeda kei, by zerocastle, enkyo_yuuichirou, hungry_clicker, night city, raining, 1girl, upper body, evil smile, cyberpunk, from_above, cowboy_shot,  fox mask on head, halo, realistic, close-up, cinematic angle, masterpiece, high score, great score, absurdres"
115,"masterpiece, high score, great score, absurdres, year 2025, very safe, 1boy, zuppu11 type 1, furry, cute, kemono"
116,"masterpiece, high score, great score, absurdres, 1girl, olivier mira armstrong, fullmetal alchemist"
117,"Masterpiece, best quality, maximalist, cel-shading, 1boy, bishounen, adventurer, black hat, hat, late afternoon city cafe, holding a cup of latte, late afternoon sunset, orange eyes, green hair, steampunk, upper body, jacket, best quality, safe"
118,"masterpiece,best quality,very aesthetic,absurdres,(highly detailed),4k,8k,intricate detail,cinematic lighting,(amazing quality),game cg,(amazing shading),no blur,(perfect anatomy),1woman,solo,Kafka \(Honkai Star Rail\),outdoors,long hair,purple hair,purple eyes,eyewear on head,oiled skin,shiny skin,mature female,tall female,(huge breasts),big ass,highly detailed eyes,(black jacket,high waist shorts,jacket),jewelry,long sleeves,pantyhose, pantyhose under shorts,purple gloves,round eyewear, shirt, shorts,(mature female:1.2),tall female,curvy,beautiful face,highly detailed faces and eyes,standing,looking at viewer,(city),seductive smile,perfect hair,perfect hair,beautiful breasts,beautiful hips,(highly detailed),4k,8k,intricate detail,cinematic lighting,(amazing quality),game cg,(amazing shading),no blur,(perfect anatomy),masterpiece,best quality,very aesthetic,absurdres,nsfw,"
119,"score_9, score_8_up, 1girl, a regal queen, blonde hair, regal attire, wielding a scepter, candy cane scepter, crown, crown made of candy, sitting, crossed legs, throne, throne room, looking down, from bottom, looking at viewer, indoors, stained glass background, masterpiece, best quality, very aesthetic, absurdres, candy"
120,"masterpiece, high score, great score, absurdres,1boy, A boy sits by the river with his bare feet soaking in the murmuring stream, admiring the summer scenery. He wears a straw hat, short sleeves, and short pants."
121,"masterpiece,high score,great score,absurdres,,kyouka \(princess connect!\),1girl,purple hair,twintails,solo,skirt,frills,looking at viewer,standing,pointy ears,yellow eyes,waving,japanese clothes,blue ribbon,wide sleeves,blue dress"
122,"masterpiece,high score,great score,absurdres,takamatsu tomori and penguin,animal,looking at viewer,snow,a penguin that has girl face,weapon on back,"
123,"1girl, source_anime, short hair, cute, ((((clothing made of cd's)))), detailed background, forest background, cowboy shot, depth of field, volumetric lighting, trees made of cd's"
124,"masterpiece, best quality, high score, great score, absurdres:1.2, highres, 8k, (highly detailed:1.1), (cinematic anime:1.3), (official anime art:1.3), (anime screencap:1.4), (solo:1.2), 1woman, year 2024, sensitive, nsfw, explicit, (cyberpunk:1.1), (soft lighting:1.1), anime coloring, (shadows stretch long:1.3), (bright lighting:1.3), (bright background:1.2), (abandoned subway station:1.2), (leaking pipes:1.1), (broken tiles:1.1), (graffiti art:1.2), (torn stockings:1.2), (oversized hoodie:1.1), (glowing tattoos:1.2), (cybernetic arm:1.1), (sitting on tracks:1.1), (legs spread slightly:1.2), (head tilted back:1.1), (eyes closed:1.1), (mouth open slightly:1.1), (expression of intense pleasure:1.4), (heavy breathing:1.1), (drool:1.1), (shivering:1.1), (goosebumps:1.1), (subtle smile:1.1), (hidden desires:1.3), (forgotten world:1.3)"
125,"masterpiece, high score, great score, absurdres, 1boy, 1girl, 2 characters, fox girl, rocker boy, long wavy brown hair, red ribbons, fox ears, green eyes, silver messy hair, intense green eyes, black leather jacket, white t-shirt, red mini dress, knee-high socks, black boots, holding a microphone, singing passionately, gripping a guitar, strumming intensely, dramatic stage lighting, glowing spotlights, cheering crowd, dynamic pose, Ikebukuro live house, hands raised in excitement, music notes floating in the air, high-energy atmosphere, anime-style coloring, depth of field, painterly, impressionism"
126,"masterpiece,high score,great score,absurdres,looking at viewer,pilot suit, sayoko, glasses, blue hair, ponytail, black eyes,injury,bandages,"
127,"masterpiece, best quality, high score, great score, absurdres, 1girl,sylphiette , \(mushoku tensei\), mushoku tensei , realism, volumetric lighting, natural lighting, ,elf ears ,red eyes , white hair , heavy medival armor, white armor, armor boots, armor pants, armor gloves, holding sword near face, wide sword, forest, river, night,fireflies, serious,"
128,"(8k, raw photo), (sharp focus), cinematic shadows, raw lighting, 1girl, solo, cute face, Japanese girl, slim round face, dark brown eyes, (Depth of Field), black hair, long hair, sharp eyes, (\m/:1.5), park, dynamic angle,, (black Thigh-high socks), photo background, jirai kei, Jirai kei Fashion, smile, masterpiece, high score, great score, absurdres,"
129,"masterpiece, high score, great score, absurdres, sky, scenary, dark theme, night, grass field, floating transparent red fish, too many floationg fish, stream, 1girl, fox girl, smile, gold eyes, very long hair, blonde hair, dark-skinned female, glowing eyes, expressionless, looking at viewer, japanese clothes, multicolored clothes, black kimono, red kimono, obi, short dress, wide sleeves, detached sleeves, lace trim, too many frills, hair ornament, (embroidery, embroidered dress:1.1), floral print, (fine fabric emphasis:1.2), from below, wide shot, other focus,"
130,"masterpiece, high score, great score, absurdres,1girl, Legend of Heroes: Trails, Nihon Falcom, High Fantasy, blonde, anime, knight, ful steel plate armour, 30s, mature, proud, confident, full body, dynamic angle, dynamic action, exquisite flaming lance, plate legs,"
131,"((best quality)),((masterpiece)),(detailed), ,sky,city,lights,night,building,tower,scenery,bridge,architecture,cityscape,skyline,outdoors,skyscraper,background,street,river,cloud,painting,tree,water,close-up,, Neo-Queen Serenity, Height: Slightly taller than her younger Sailor Moon form, around 5 feet 5 inches (165 cm), giving her a more mature and regal stature. Build: Slim and graceful, with a delicate yet commanding presence. Her figure exudes both femininity and strength, symbolizing her role as a queen and protector of the Earth. Hair: Long, silver-white hair styled in her signature odango (twin buns) with cascading pigtails that reach far below her feet. The hair shimmers with a radiant, moonlit glow, emphasizing her celestial nature and her connection to the Moon Kingdom. Eyes: Deep blue eyes that are soft yet intense, reflecting her wisdom, compassion, and inner strength. Her gaze carries a sense of serenity and divine authority. Skin: Fair and luminous, with a radiant, otherworldly glow that highlights her ethereal beauty. Her flawless complexion enhances her image as a celestial queen. . , (score_9, score_8_up, score_7_up, score_6_up, score_5_up, score_4_up, high res, 4k),"
132,"masterpiece, best quality, high score, great score, absurdres, (limited palette:1.1), flat colors, flat color, high contrast,"
133,"1girl, solo, upper body, looking at viewer,  winter, snow, fur trim, military uniform, military hat, on tank, military vehicle,"
134,"1girl, solo, cinematic angle, hair ornament,  energy horns, energy wings, vibrant, crystal dragon girl, dragon claw, Dragon tail, volumetric light, chiaroscuro, 16k, sparkle, Depth of field, faint light, cinematic lighting, [(white background:1.2)::0.2], (fading border background:1.2), masterpiece, best quality, amazing quality, very aesthetic, absurdres, highres, newest, intricate details, high contrast, high score, great score,"
135,"masterpiece,high score,great score,absurdres,1girl,medium breasts,1girl,,solo,needle knight leda,blonde hair,hair between eyes,medium hair,crown braid,yellow eyes,white cloak,ornate armor,gauntlets,head tilt,messy hair,half-closed eyes,hair over one eye,looking at viewer,closed mouth,unworn helmet,holding helmet,upper body,indoors, burning building, fire, embers,"
136,"masterpiece, high score, great score, absurdres, year 2025, safe, 1boy, zuppu11 type 2, furry, cute, kemono"
137,"masterpiece,high score,great score,absurdres,goro shigeno,baseball mitt,baseball uniform,baseball,1boy,male focus,solo,clenched teeth,teeth,sportswear,hat,baseball cap,blurry,baseball bat,upper body,blurry background,holding,ball,holding ball,shirt,all japan team baseball jersey,red shirt,official art,,throwing,pitching,"
138,"masterpiece,high score,great score,absurdres,year 2025,safe,1girl,17yo,solo,nishikigi_chisato,lycoris recoil,licorice uniform,shirt,long sleeve,dress,ribbon,white shirt,collared shirt,belt,neck ribbon,blue ribbon,red dress,pleated dress,grey dress,two-tone dress,long sleeves,red belt,black socks,indoor,sitting cross-legged on the floor,embarrassed,kubrick_stare,depth of field,"
139,"masterpiece, high score, great score, absurdres, 1girl, winry rockbell"
140,"masterpiece, high score, great score, absurdres, horned swamps, girl with horns, luminescent blue hair, ethereal dress, long hair, blue fireflies, blue light particles, magic, translucent"
141,"1girl, waitress outfit, solo, diner, pov, looking to the left lower corner, worried, plate with donut, cup of coffee, cinematic still from Quentin Tarantino movie, masterpiece, high score, great score, absurdres"
142,"masterpiece, high score, great score, absurdres, 1 girl, artoria_caster, fate_grand_order, solo, cowboy shot, looking at viewer, straight_on, year 2020, blonde hair, long hair, twintails, ahoge, green eyes, lips, blush, light smile, small breasts,  , hogsks, hogwarts school uniform, black robe, gray vest, gryffindor, red tie, arms behind back, black skirt, pleated skirt, black pantyhose"
143,"masterpiece, best quality, 1girl, solo, medium, 1900s, black jacket, red hair, armband, holding katana, katana over shoulder, pout, yellow eyes, slit pupils, wide hips, side view, amazing quality, retro style, highres, absurdres, black pants, tight pants, belt, white shirt, open jacket,"
144,"(masterpiece), best quality, ((4k,8k,Ultra HD)),((Masterpiece :1.2)),((Best quality :1.2)),((Detailed :1.5)),((Detailed background :1.5)), two magical red trees on a field with black grass, stars, light particles, luminous, branches, volumetric lighting, beautiful scenery, hawk viewed from behind flying in the sky, artist:Furukawa, fischl \(genshin impact\) with green eyes, messy room, masterpiece, best quality, amazing quality, very aesthetic, absurdres, newest,exploring,"
145,"masterpiece, best quality, high score, great score, absurdres, 1girl,zero two, \(darling in franxx\), darling in franxx, realism, volumetric lighting, natural lighting, light green eyes, red horns, skiny temples and a braided ponytail ,black milytary uniforms , wehrmacht uniform, black leather jaket, black pants, officer hat,  arrogant, holding gold apple , look at apple, WWII background, dungeon, flags Germany, black cross on red flags,"
146,"(masterpiece: 1.2), (best quality: 1.2), very aesthetic, 4k, (InkPunk: 1.2), dynamic pose, vivid color, deep colors,dramatic lighting, intricate details, thick contours, volumetric shadows,1 girl, solo, Holding a sword,(rage: 0.8), (berserk: 0.8), intense,dark tone map, chromatic abberation, analogue filter , negative space, exquisite detail on weapon"
147,"masterpiece, extremely detailed CG unity 8k wallpaper, ultra-detailed, depth of field, best illumination, best shadow, an extremely delicate and beautiful, cowboy shot, from above, masterpiece, high score, great score, absurdres,   library, shocked  girl in sundress is looking at horse made of fruit loops,"
148,"masterpiece, high score, great score, absurdres, 1girl, nikaidou shinku, blonde hair, two side up, ,lab coat,school uniform,classroom, pleated skirt,bare shoulders, jitome, sitting, head rest, looking at viewer,"
149,"masterpiece, high score, great score, absurdres, (ask \(askzy\), hiten \(hitenkei\):0.5), , 1girl, solo, robin \(honkai: star rail\), halo, head wings, solo, school uniform, white shirt, sweater, pleated skirt,  light smile, looking at viewer, outdoors, street, cherry blossoms, petals, depth of field"
150,"masterpiece,high score,great score,absurdres,gotoh hitori,yuzu \(blue archive\),2girls,in box,squatting,scared,looking at another,dark,open mouth,blush,leaning on person, gorgeous lips, (masterpiece), (best quality), high score, great score, very aesthetic, perfect composition, intricate details, absurdres, detailed face, slim noble girl, dynamic angle, pov, napping on cozy sofa, funeral dress, night, living room, tears"
151,"masterpiece, best quality, high score, great score, absurdres, 1girl, makima \(chainsaw man\), chainsaw man, foreshortening, upper body, dark, dark background, depth of field, faux traditional media, high contrast, head tilt, standing with their back to the viewer, turning just their head to look back towards the viewer"
152,"masterpiece,high score,great score,absurdres,2girls,,looking at another,sitting on chair,room,Window,Sweets, chocolates and lots of cookies,smile,Rice Shower\(umamusume\),horse tail,UMAKH,horse earsBREAK,Haru Urara\(umamusume\),horse tail,UMAKH,horse ears,Eating cookies, puffy cheeks,"
153,"masterpiece, high score, great score, absurdres,monochrome, seapall, pija,1girl, goth, long hair, straight hair, black hair, green eyes, closed mouth, bags_under_eyes, sleepy, half closed eyes, lying on couch, on side, sitting, black dress, frills, rating: safe,"
154,"1girl, solo, orange eyes, hime cut, diagonal bangs, single sidelock, blue wetsuit, bare shoulders, large breasts, cowboy shot, dutch angle, looking at viewer, indoors, window, masterpiece, high score, great score, great score"
155,"score_9,score_8_up,score_7_up,score_6_up,score_5_up,1girl, score_4_up,Rainbow Dash from My Little Pony,anthro female, short hair,red_eyes,heterochromia,Rainb0w M0rph,slit pupils, glowing eyes,spiked bracelets,blue skin,colored skin,rainbow hair,purple eyes,curvy,frown,smile,clenching fists,tongue,grin, wide hips,thick thighs,thick legs,medium breasts,narrow waist, colliseum,(running track),rainbow in the sky,(sparkles:1.4),sky, cloud print shirt,long shirt,white shirt,black jacket,cargo pants, green pants,sci-fi,wings,painted floor,security signs,pennants, (hand sign),(sunrays),shiny skin,dynamic pose,holding energy drink,crystal orb,dark green pants,(sports clothes),flying orbs, (floating on air),jewelry,(motion lines:1.4),(thick outlines:1.4),(trembling lines:1.4),(clouds),zeppelin,high buildings,(sweat), steam,steamy breath,holding bottle,(spoken star),(gun case), masterpiece,best_quality,newest,absurdres,best shadow,light particles,highly detailed background,amazing quality,highly detailed_skin,very_detailed_clothes,power_lines,speed lines, emphasis_lines,very_aesthetic,dynamic_angle,high quality,4k, best shadow,"
156,"1boy, Anime, male, dark hair, brown eyes,mechanical, armored, tactical, tactical, gray armor, armor vest, pouch bag, pants, shoulder pads, arm plate armor, gloves, black gloves,masterpiece, best quality, high score, great score, good score, absurdres"
157,"Illustration style, official art, 1girl,Rapi /(Nikke/), sitting, grabbing both chest,sunset background, hair flowing in the wind, slightly leaning back, enjoying the breeze, warm tones, aroused expression, soft lighting, natural environment, golden hour, relaxed pose, gentle atmosphere,masterpiece, best quality, high score, great score, absurdres, sensitive"
158,"1girl, realface, running, forest,"
159,"1girl, upper body, medium hair, brown hair, pink eyes, swept bangs, black mask, mouth mask, black hoodie, sleeveless hoodie, collarbone, bare shoulders, bare arms, arm up, arm behind head, outdoors, city, street, night, night sky"
160,"masterpiece,best quality,very aesthetic,absurdres,(highly detailed),4k,8k,intricate detail,cinematic lighting,(amazing quality),game cg,(amazing shading),no blur,(perfect anatomy),1woman,solo,Kafka \(Honkai Star Rail\),outdoors,long hair,purple hair,purple eyes,eyewear on head,oiled skin,shiny skin,mature female,tall female,(huge breasts),big ass,highly detailed eyes,(black jacket,high waist shorts,jacket),jewelry,long sleeves,pantyhose, pantyhose under shorts,purple gloves,round eyewear, shirt, shorts,(mature female:1.2),tall female,curvy,beautiful face,highly detailed faces and eyes,standing,looking at viewer,(city),seductive smile,perfect hair,perfect hair,beautiful breasts,beautiful hips,(highly detailed),4k,8k,intricate detail,cinematic lighting,(amazing quality),game cg,(amazing shading),no blur,(perfect anatomy),masterpiece,best quality,very aesthetic,absurdres,nsfw,"
161,"masterpiece, best quality, high score, great score, absurdres, 1girl, misaki mei , another , red choker, finger to mouth, partially shaded face, head tilt, gesugao, smirk, upper body, dark background, dark"
162,"1girl, cocktail dress, solo, nightclub, covering herself, crying, red theme, neon light, cinematic still from Gaspar Noé movie, masterpiece, high score, great score, absurdres"
163,"masterpiece, high score, great score, absurdres, 1 girl, drinking milkshake, cute mascot dolls, pink theme, candy, Cute Flat Art, digital illustration with strong outlines"
164,"masterpiece, best quality, very aesthetic, absurdres,  Extraterrestrial, alien, princess, otherworldly, iridescent skin, futuristic crown, cosmic background."
165,"masterpiece, best quality, high score, great score, absurdres, 1girl,Dustiness Ford Lalatina , konosuba, red choker, finger to mouth, partially shaded face, head tilt, gesugao, smirk, upper body, dark background, dark"
166,"masterpiece, high score, great score, absurdres, 1girl, vampire, pink hair, cyberpunk city, Cyberspace, (matrix inspired landscape:1.2), (hologram:0.6), (astral travel:.3), (cyberpunk art:0.8), ((created by glowing magical energy in cyberspace)), cyberpunk netrunner's digital world, (digital concept art:0.8)"
167,"1girl, solo, Holding a sword, rage smile, calling, motherland mother, from front, dynamic pose, body armor, red and black,"
168,"(masterpiece, high score, great score, absurdres, :1.2), best, detailed, perfect, creative, intricate details, perfect anatomy, vivid color, deep colors, dramatic lighting, thick contours, volumetric shadows, ExpressiveH, (Inkpunk:1.2), , (by Ilya Kuvshinov:1.2), vibrant, retro artstyle, fantasy, scene, manga"
169,"1 girl, solo, full body, Ruirui, (red bowknot:1.3) on hair, dark maroon hair, medium hair, high ponytail, wide collar, white shirt, white long sleeves, (red overall:0.7), minipants, kneesocks, long bubble socks, brown shoes, bend over, sided head, sweaty face, open mouth, forest, masterpiece, high score, great score, absurdres, detailed background"
170,", best masterpiece,Optimum Quality,,ahoge,multicolored hair.colored inner hair,,blunt bangs,hairclip,low twintails,cute girls,embarrassed,blush,spoken heart,waitress,petite.,curvy,heart hands, own hands together,devil,demon tail,devil wings"
171,", masterpiece, ,1boy, 1girl, kamijou touma, misaka mikoto,, mad-shingles, Roof Shingles"
172,"mad-shingles, , (masterpiece:1.2), best quality, Score_9, Score_8_Up, Score_7_Up, (Seductive vampire queen, long crimson gown, revealing yet elegant, pale glowing skin, piercing red eyes, black lace gloves), sitting on a gothic throne, candlelit castle, dark misty atmosphere, deep shadows, intense expression, luxurious velvet textures, gothic elegance, cinematic lighting"
173,"masterpiece, high score, great score, absurdres,1girl,  tifa lockheart, smile, happy, v, japanese kimono, dancing,mad-shingles"
174,"score_9,score_8_up,score_7_up,score_6_up,score_5_up,1girl, score_4_up,source_nintendo,daisy,princess_daisy,brown_hair, mario_(series),blue_eyes,novuschroma51 style,glowing eyes, long hair,slit pupils,(flower bracelets),(dark skin),curvy,frown, smile,clenching fists,tongue,grin,wide hips,thick thighs,thick legs,medium breasts,narrow waist,(tattoos:1.4),flower tattoo, forest,autumn forest,thorny vines,dirt road,wooden hut,gold shroom,yellow mushrooms,glowing mushrooms,night,stars (sparkles:1.4),sky,clouds,long skirt,yellow dress,white ribbon belt,holding umbrella,holding basket,(puffy shoulders),puffy red lips,(short sleeves),lacy skirt,very long skirt,gold earrings, hand sign,moonlight,shiny skin,dynamic pose,crystal yellow orbs,levitating yellow orbs,big mushrooms,(motion lines:1.4),(thick outlines:1.4),(trembling lines:1.4),sweat,destroyed stone bricks,jewelry,steam,steamy breath,wine bottle,salami,cheese,(spoken food),(gun case),bullet belt,weapons,gold crown,tiara, masterpiece,best_quality,newest,absurdres,best shadow,light particles,highly detailed background,amazing quality,highly detailed_skin,very_detailed_clothes,power_lines,speed lines, emphasis_lines,very_aesthetic,dynamic_angle,high quality,4k, best shadow,,"
175,", best masterpiece,Optimum Quality,,ahoge,multicolored hair.colored inner hair,,blunt bangs,hairclip,low twintailsgirls,cute,petite.,maid"
176,"(8k, raw photo), (sharp focus), cinematic shadows, raw lighting, 1girl, solo, cute face, Japanese girl, slim round face, dark brown eyes, (Depth of Field), black hair, long hair, sharp eyes, (\m/:1.5), park, dynamic angle,, (black Thigh-high socks), photo background, jirai kei, Jirai kei Fashion, smile, masterpiece, high score, great score, absurdres,"
177,"1girl, suigintou, rozen maiden, outdoors, park, sunlight, tree, looking back, masterpiece, high score, great score, absurdres"
178,"masterpiece,high score,great score,absurdres,1girl,medium breasts,1girl,year 2005,,solo,needle knight leda,blonde hair,hair between eyes,medium hair,crown braid,yellow eyes,white cloak,ornate armor,gauntlets,head tilt,messy hair,half-closed eyes,hair over one eye,looking at viewer,closed mouth,unworn helmet,holding helmet,upper body,indoors,burning building,fire,embers,"
179,"masterpiece, high score, great score, absurdres, year 2025, safe, 1boy, zuppu11 type 1, furry, cute, kemono"
180,"masterpiece, best quality, high score, great score, absurdres, 1girl, yuki asuna , sword art online , red choker, finger to mouth, partially shaded face, head tilt, gesugao, smirk, upper body, dark background, dark"
181,"1girl, upper body, short hair, blue hair, blue eyes, from side, looking at viewer, black shirt, t-shirt, short sleeves, collarbone, hand up, adjusting hair, outdoors, city, street, night, night sky"
182,"masterpiece, high score, great score, absurdres, solo, 1girl, shigure_ui _\(vtuber\), virtual youtuber, light brown hair, green eyes, dress, cobra_\(animal\), drill_hair, drill_sidelocks, idol_outfit, cobra outfit, outfit made out of cobra scales, aqua_background, colorful, abstract,"
183,"pastel colors, neon color illustration, (pink haze), kawaii illustration, (Colored pencil:1.4), (graffiti art:1.3), girl, (Sparkling haze), Half-up, black hair, Sailor's uniform, Clothes with big buttons, hats with big buttons,"
184,"masterpiece, high score, great score, absurdres, 1girl, nikaidou shinku, blonde hair, two side up, ,lab coat,school uniform,  pleated skirt,light smile, bare shoulders, portrait, straight-on,"
185,"Stable_Yogis_SD1.5_Positives, masterpiece, high score, great score, absurdres, reflection, Woman, girl, boy, man, Random cloths, random accouterments, winter,animated, Barbaque, cooking meat, cooked patatis, swing set, road, Home"
186,"pastel colors, neon color illustration, (pink haze), kawaii illustration, (Colored pencil:1.4), (graffiti art:1.3), girl, (Sparkling haze), Half-up, black hair, Sailor's uniform, Clothes with big buttons, hats with big buttons,"
187,"The Herta,masterpiece,high score,great score,absurdres,normal hands,"
188,"lacus clyne,1 girl,Lacus Clyne,nun,black habit,black domineering,church,cross necklace,mid-shot,solid color,"
189,"Ghibli animation style,Studio Ghibli,hand drawn animation style,a boy,Masterpieces,high marks,Young wizard,hat,white hair,scarf,Slytherin,magic,cute,cartoon,"
190,"1 teenage girl,bust,middle blonde hair,solo,fighting stance,school uniform,holding a revolver,a determined expression,masterpiece,best quality,amazing quality,"
191,"fantastical, ethereal aesthetic, A girl with long hair and fairy wings sits gracefully on a tree branch. She wears a flowing dress and has a serene expression, surrounded by a magical, glowing forest."
192,"fantastical, ethereal aesthetic, A girl with long hair and fairy wings sits gracefully on a tree branch. She wears a flowing dress and has a serene expression, surrounded by a magical, glowing forest."
193,"1girl,ayanami rei,neon genesis evangelion,rebuild of evangelion,solo,detailed beautiful face and eyes,lips,looking at viewer,(Geometric print A-line dress),dress designed by Tsuyoshi Domoto and Veronique Branquinho,BREAKfashion pose,dancing,softly adjusting a scarf,close-up portrait,slight upward angle,soft bokeh,three quarter view,dutch angle,backlit with rim light,abandoned glass greenhouse with overgrown ivy,lush greenery,looking at viewer,Captured in the Moment,BREAKProfessional fashion illustration,Vogue-style portrait,fine art portrait,full-body emphasized,no crop,timeless elegance,timeless editorial,serene atmosphere,detailed couture fabric textures,glossy texture,subtle film grain,dramatic contrast,high dynamic range,intricate embroidery,avant-garde fashion elements,stylish,beautiful,aesthetic,chromatic aberration,perfect composition,detailed,fine texture,crisp detail,crisp edges,[hyper-realistic:pseudo-impasto:0.6],cinematic,depth of field,bokeh,soft-focus bokeh with artistic depth,BREAKmasterpiece,high score,great score,absurdres,extremely detailed CG unity 8k wallpaper,"
194,"safe_pos,cowboy shot,1girl,raiden shogun,holding sword,between breasts,head tilt,serious,hand up,looking at viewer,parted lips,wind,dark background,electricity,sparks,masterpiece,best quality,amazing quality,"
195,"masterpiece,dynamic composition,1girl,hand on katana,unsheathing,school uniform,solo,black hair,looking at viewer,bangs,purple eyes,long hair,closed mouth,embers,black background,boots,dynamic pose,dutch angle,foreshortening,twilight,glowing,ink background,abstract background,bright colors,dark,pink theme,gray smoke,neon trim,full body,"
196,",A confident and dangerous-looking female warrior with long,wavy blonde hair,wearing a white tie-front crop top,Cleavage,a sleeveless black cropped jacket,and asymmetrical tight-fitting pants (one side military green, the other purple). She has a black tactical belt with a golden buckle,fingerless gloves,and a thigh holster on her right leg. She is wearing knee-high black combat boots. Her right hand is raised to her ear as if adjusting a communication device,while her left hand holds a sharp combat knife with a relaxed grip. Her expression is fierce and slightly playful,with a hint of a smirk. The background is minimal or futuristic,giving a sci-fi or cyberpunk vibe. The art style is detailed anime or semi-realistic with vibrant colors and dynamic lighting,masterpiece,best quality,amazing quality,(traditional media,sketch,monochrome,greyscale),"
197,"1girl,lacus clyne,The sea,beaches,pink beaches,blue sky and white clouds,flying birds,sparkling waves,spring flowers blooming,flowers,sea and sky matching,the sun shining brightly,8K wallpaper,top quality,"
198,"masterpiece,dynamic composition,1girl,hand on katana,unsheathing,school uniform,solo,black hair,looking at viewer,bangs,purple eyes,long hair,closed mouth,embers,black background,boots,dynamic pose,dutch angle,foreshortening,twilight,glowing,ink background,abstract background,bright colors,dark,pink theme,gray smoke,neon trim,"
199,"lol,digital illustration,lol,masterpiece,great score,absurdres,1girl,purple eyes,dragon,closed one eye,white hair,sitting on jelly,angel,white background,sitting,best quality,very aesthetic,"
